metric,value
average_alignment_r2,0.7427711153030395
standard_error_alignment_r2,0.006413076818592753
average_alignment_normalized_mse,0.2572288843989372
standard_error_alignment_normalized_mse,0.006413077071346504
average_alignment_mse,0.26010805159807204
standard_error_alignment_mse,0.0066966252431237255
average_alignment_shuffled_r2,-0.008954521715641022
standard_error_alignment_shuffled_r2,0.00022239865859163843
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
